               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077365,            0.036548,            0.045898,           0.0019303,             0.22364,           0.0032608,          0.00068414,            0.052172,            0.016086,            0.028329,             0.07003,             0.00333,             0.00333
                   1,            0.068028,            0.037092,             0.03592,            0.020489,             0.66045,             0.03617,           0.0085076,            0.041533,             0.01565,            0.019198,            0.039811,           0.0064434,           0.0064434
                   2,            0.057776,            0.037663,            0.031261,             0.24294,             0.37914,             0.19362,            0.061893,            0.033477,            0.016248,            0.015265,           0.0093706,           0.0093368,           0.0093368
                   3,            0.049501,            0.034527,            0.027984,             0.41552,             0.54241,             0.44277,             0.21068,            0.029483,            0.013593,            0.011874,             0.00901,             0.00901,             0.00901
                   4,            0.045103,             0.03217,            0.024872,             0.51828,             0.55674,             0.50771,             0.23677,            0.028764,            0.012889,            0.013081,             0.00901,             0.00901,             0.00901
                   5,            0.043195,             0.03103,            0.022945,             0.62769,             0.62879,             0.63363,             0.33524,            0.025367,            0.012118,           0.0089956,             0.00868,             0.00868,             0.00868
                   6,            0.041965,            0.030265,            0.021586,             0.60985,             0.66629,              0.6735,             0.36556,            0.024093,              0.0116,           0.0086529,             0.00835,             0.00835,             0.00835
                   7,            0.040534,            0.029366,             0.02101,             0.64541,             0.67674,             0.68737,             0.39379,            0.023941,            0.011381,           0.0089831,             0.00802,             0.00802,             0.00802
                   8,            0.039472,            0.029038,            0.020322,             0.66036,             0.68235,             0.70535,             0.40583,            0.023545,            0.011026,           0.0086198,             0.00769,             0.00769,             0.00769
                   9,            0.039209,            0.028663,            0.019354,              0.6952,             0.71577,             0.74718,             0.43568,            0.022744,            0.010724,           0.0077928,             0.00736,             0.00736,             0.00736
                  10,            0.038158,            0.028027,            0.018844,             0.67682,             0.74936,             0.76185,             0.45696,            0.021875,            0.010461,           0.0077129,             0.00703,             0.00703,             0.00703
                  11,            0.037639,            0.027891,            0.017974,             0.70652,             0.74465,             0.78264,              0.4691,            0.021769,            0.010322,           0.0071535,              0.0067,              0.0067,              0.0067
                  12,            0.037234,            0.027213,            0.017511,             0.72677,             0.77013,             0.79989,             0.49053,            0.021246,            0.010099,           0.0065575,             0.00637,             0.00637,             0.00637
                  13,            0.036827,              0.0274,             0.01765,             0.73392,             0.77331,             0.81263,             0.49976,            0.021278,            0.010015,           0.0062337,             0.00604,             0.00604,             0.00604
                  14,            0.036399,            0.027147,            0.016679,             0.72365,             0.76586,             0.80132,             0.49693,            0.020828,            0.010062,           0.0065136,             0.00571,             0.00571,             0.00571
                  15,            0.036045,            0.026789,            0.016779,             0.74709,             0.78641,             0.82594,             0.52057,            0.020645,           0.0097057,           0.0060925,             0.00538,             0.00538,             0.00538
                  16,            0.035492,            0.026443,             0.01629,             0.74583,             0.79199,             0.83111,             0.51174,            0.020601,           0.0098128,           0.0062567,             0.00505,             0.00505,             0.00505
                  17,            0.035321,            0.026412,            0.015855,             0.76386,             0.81198,             0.83929,             0.52719,            0.020265,           0.0096342,           0.0058222,             0.00472,             0.00472,             0.00472
                  18,            0.034909,            0.026204,            0.015392,             0.75819,             0.79629,             0.83656,             0.52186,            0.020164,           0.0095887,           0.0057886,             0.00439,             0.00439,             0.00439
                  19,            0.034501,            0.026136,            0.014997,             0.77052,             0.81484,             0.85421,             0.53981,            0.019963,           0.0095736,           0.0054514,             0.00406,             0.00406,             0.00406
                  20,            0.034291,            0.025625,            0.014749,              0.7734,             0.82429,             0.86114,             0.55193,            0.019846,            0.009472,           0.0053427,             0.00373,             0.00373,             0.00373
                  21,            0.033643,            0.025438,            0.014229,             0.77329,             0.82353,             0.85331,             0.55221,             0.01964,           0.0092762,           0.0052519,              0.0034,              0.0034,              0.0034
                  22,            0.033337,            0.025341,             0.01405,             0.79007,             0.80834,             0.85905,             0.55644,            0.019624,           0.0093565,            0.005089,             0.00307,             0.00307,             0.00307
                  23,             0.03347,            0.025364,            0.013845,             0.79284,             0.80587,             0.86536,             0.56217,            0.019439,           0.0093212,           0.0050127,             0.00274,             0.00274,             0.00274
                  24,            0.032746,            0.025037,            0.013332,             0.78646,             0.82549,             0.86321,             0.56115,            0.019435,           0.0092308,           0.0050932,             0.00241,             0.00241,             0.00241
                  25,            0.032578,            0.024828,            0.013454,             0.79348,             0.83016,             0.87034,             0.56178,            0.019266,           0.0091995,           0.0048802,             0.00208,             0.00208,             0.00208
                  26,             0.03253,            0.024851,            0.013227,             0.79537,             0.82751,             0.87602,              0.5702,            0.019168,           0.0091051,           0.0049251,             0.00175,             0.00175,             0.00175
